,precision,recall,f1-score,support
0,0.9678302532511978,0.8742786479802144,0.9186789388197076,4852.0
1,0.43308550185873607,0.7677100494233937,0.5537730243612596,607.0
accuracy,0.8624290163033522,0.8624290163033522,0.8624290163033522,0.8624290163033522
macro avg,0.7004578775549669,0.8209943487018041,0.7362259815904837,5459.0
weighted avg,0.9083706335231846,0.8624290163033522,0.8781041284008987,5459.0
