,precision,recall,f1-score,support
0,0.9368462601144661,0.9783594394064303,0.957152938804315,4852.0
1,0.7321428571428571,0.4728171334431631,0.5745745745745746,607.0
accuracy,0.9221469133540942,0.9221469133540942,0.9221469133540942,0.9221469133540942
macro avg,0.8344945586286616,0.7255882864247967,0.7658637566894448,5459.0
weighted avg,0.914084771636033,0.9221469133540942,0.9146130840529956,5459.0
