Model,Accuracy,Precision,Recall,ROC_AUC,F1
Logistic Regression,0.8624290163033522,0.43308550185873607,0.7677100494233937,0.9124378133102264,0.5537730243612596
XGBoost,0.9221469133540942,0.7321428571428571,0.4728171334431631,0.9082458565974593,0.5745745745745746
